ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
1378	Guixian	nurse	保姆	pa⁴²mu⁴²	p a ⁴² m u ⁴²		378	383	p a - ⁴² m u ⁴²	C V T C V T	p a - ⁴² m u - ⁴²	p a ⁴² m u ⁴²	C V T C V T
1384	Hangzhou	nurse	保姆	pɔ⁵³mu⁵³	p ɔ ⁵³ m u ⁵³		378	383	p ɔ - ⁵³ m u ⁵³	C V T C V T	p ɔ - ⁵³ m u - ⁵³	p ɔ ⁵³ m u ⁵³	C V T C V T
1382	Jinan	nurse	保姆	pɔ⁵⁵mu⁵⁵	p ɔ ⁵⁵ m u ⁵⁵		378	383	p ɔ - ⁵⁵ m u ⁵⁵	C V T C V T	p ɔ - ⁵⁵ m u - ⁵⁵	p ɔ ⁵⁵ m u ⁵⁵	C V T C V T
1398	Kunming	nurse	保姆	pɔ⁵³mu⁵³	p ɔ ⁵³ m u ⁵³		378	383	p ɔ - ⁵³ m u ⁵³	C V T C V T	p ɔ - ⁵³ m u - ⁵³	p ɔ ⁵³ m u ⁵³	C V T C V T
1375	Meixian	nurse	保姆	paw³¹me⁴⁴	p a w ³¹ m e ⁴⁴		378	383	p a w ³¹ m e ⁴⁴	C V C T C V T	p a w ³¹ m e - ⁴⁴	p a w ³¹ m e ⁴⁴	C V C T C V T
1389	Nanchang	nurse	保姆	pɑw²¹³mu²¹³	p ɑ w ²¹³ m u ²¹³		378	383	p ɑ w ²¹³ m u ²¹³	C V C T C V T	p ɑ w ²¹³ m u - ²¹³	p ɑ w ²¹³ m u ²¹³	C V C T C V T
1400	Shanghai	nurse	保姆	pɔ³⁵mu¹³	p ɔ ³⁵ m u ¹³		378	383	p ɔ - ³⁵ m u ¹³	C V T C V T	p ɔ - ³⁵ m u - ¹³	p ɔ ³⁵ m u ¹³	C V T C V T
1393	Taiyuan	nurse	保姆	paw⁵³mu⁵³	p a w ⁵³ m u ⁵³		378	383	p a w ⁵³ m u ⁵³	C V C T C V T	p a w ⁵³ m u - ⁵³	p a w ⁵³ m u ⁵³	C V C T C V T
1379	Xiamen	nurse	保姆	po⁵³bu	p o ⁵³ b u		378	383	p o - ⁵³ b u -	C V T C V	p o - ⁵³ b u - -	p o ⁵³ b u	C V T C V
1281	Hefei	old man	老头子	lɔ²⁴tʰɯ⁵⁵ʦə	l ɔ ²⁴ tʰ ɯ ⁵⁵ ə		594	548	l ɔ ²⁴ tʰ ɯ ⁵⁵ ə	C V T C V T V	l ɔ - ²⁴ tʰ ɯ ⁵⁵ ts - ə - -	l ɔ ²⁴ tʰ ɯ ⁵⁵ ts ə	C V T C V T C V
1286	Guangzhou	old man	伯父	pak³fu²²	p a k ³ f u ²²		464	452	p a k ³ f u ²²	C V C T C V T	- - - - - - p a k ³ f u - ²²	p a k ³ f u ²²	C V C T C V T
1277	Meixian	old man	老阿伯	law³¹a⁴⁴pak¹	p a k ¹		464	452	p a k ¹ - - -	C V C T	l a w ³¹ a ⁴⁴ p a k ¹ - - - -	l a w ³¹ a ⁴⁴ p a k ¹	C V C T V T C V C T
1295	Beijing	old man	老头儿	lɑw²¹⁴tʰowr³⁵	l ɑ ²¹⁴ tʰ o r ³⁵		1058	49	l ɑ ²¹⁴ tʰ o r ³⁵	C V T C V C T	l ɑ w ²¹⁴ tʰ o w r ³⁵ - - -	l ɑ w ²¹⁴ tʰ o w r ³⁵	C V C T C V C C T
1288	Chengdu	old man	老头儿	naw⁵³tʰər³¹	n a ⁵³ tʰ ə r ³¹		1058	49	n a ⁵³ tʰ ə r ³¹	C V T C V C T	n a w ⁵³ tʰ ə - r ³¹ - - -	n a w ⁵³ tʰ ə r ³¹	C V C T C V C T
1284	Hangzhou	old man	老头儿	lɔ⁵³dej²¹³əl²¹³	l ɔ ⁵³ d e j ²¹³		1058	49	l ɔ ⁵³ d e j ²¹³	C V T C V C T	l ɔ - ⁵³ d e - j ²¹³ ə l ²¹³	l ɔ ⁵³ d e j ²¹³ ə l ²¹³	C V T C V C T V C T
1282	Jinan	old man	老头儿	lɔ⁵⁵tʰowr⁴²	l ɔ ⁵⁵ tʰ o r ⁴²		1058	49	l ɔ ⁵⁵ tʰ o r ⁴²	C V T C V C T	l ɔ - ⁵⁵ tʰ o w r ⁴² - - -	l ɔ ⁵⁵ tʰ o w r ⁴²	C V T C V C C T
1971	Taiyuan	on	脑头	naw⁵³tʰəw¹¹	n a w ⁵³ tʰ ə w ¹¹		932	836	n a w ⁵³ tʰ ə w ¹¹	C V C T C V C T	n a w ⁵³ tʰ ə w ¹¹ - - - - -	n a w ⁵³ tʰ ə w ¹¹	C V C T C V C T
1949	Changsha	on	高头	kaw³³təw	k a ³³ t ə w		1085	73	k a ³³ t ə w -	C V T C V C	k a w ³³ t ə w -	k a w ³³ t ə w	C V C T C V C
1968	Chengdu	on	高头	kaw⁵⁵tʰəw³¹	k a ⁵⁵ tʰ ə w ³¹		1085	73	k a ⁵⁵ tʰ ə w ³¹	C V T C V C T	k a w ⁵⁵ tʰ ə w ³¹	k a w ⁵⁵ tʰ ə w ³¹	C V C T C V C T
1959	Hangzhou	on	高头	kɔ³³dej²¹³	k ɔ ³³ d e j ²¹³		1085	73	k ɔ ³³ d e j ²¹³	C V T C V C T	k ɔ - ³³ d e j ²¹³	k ɔ ³³ d e j ²¹³	C V T C V C T
1955	Hefei	on	高头	kɔ²¹tʰɯ	k ɔ ²¹ tʰ ɯ		1085	73	k ɔ ²¹ tʰ ɯ - -	C V T C V	k ɔ - ²¹ tʰ ɯ - -	k ɔ ²¹ tʰ ɯ	C V T C V
1964	Nanchang	on	高头	kɑw⁴²tʰɛw⁰²	k ɑ ⁴² tʰ ɛ w ⁰²/¹²		1085	73	k ɑ ⁴² tʰ ɛ w ⁰²/¹²	C V T C V C T	k ɑ w ⁴² tʰ ɛ w ⁰²/¹²	k ɑ w ⁴² tʰ ɛ w ⁰²/¹²	C V C T C V C T
1979	Shanghai	on	高头	kɔ⁵³dɤ¹³	k ɔ ⁵³ d ɤ ¹³		1085	73	k ɔ ⁵³ d ɤ - ¹³	C V T C V T	k ɔ - ⁵³ d ɤ - ¹³	k ɔ ⁵³ d ɤ ¹³	C V T C V T
1974	Beijing	on	上头	ʂɑŋ⁵¹tʰow¹	ʂ ɑ ŋ ⁵¹ tʰ o w ¹		210	249	ʂ ɑ ŋ ⁵¹ tʰ o w ¹	C V C T C V C T	ʂ - ɑ ŋ ⁵¹ tʰ - o w ¹	ʂ ɑ ŋ ⁵¹ tʰ o w ¹	C V C T C V C T
1950	Changsha	on	上头	ʂan¹¹təw	ʂ a n ¹¹ t ə w		210	249	ʂ a n ¹¹ t ə w -	C V C T C V C	ʂ - a n ¹¹ t - ə w -	ʂ a n ¹¹ t ə w	C V C T C V C
1965	Chengdu	on	上头	saŋ¹³tʰəw³¹	s a ŋ ¹³ tʰ ə w ³¹		210	249	s a ŋ ¹³ tʰ ə w ³¹	C V C T C V C T	s - a ŋ ¹³ tʰ - ə w ³¹	s a ŋ ¹³ tʰ ə w ³¹	C V C T C V C T
1951	Guixian	on	上头	saŋ²¹³tʰəw⁵⁵	s a ŋ ²¹³ tʰ ə w ⁵⁵		210	249	s a ŋ ²¹³ tʰ ə w ⁵⁵	C V C T C V C T	s - a ŋ ²¹³ tʰ - ə w ⁵⁵	s a ŋ ²¹³ tʰ ə w ⁵⁵	C V C T C V C T
1960	Hangzhou	on	上头	zɑŋ¹³dej²¹³	z ɑ ŋ ¹³ d e j ²¹³		210	249	z ɑ ŋ ¹³ d e j ²¹³	C V C T C V C T	z - ɑ ŋ ¹³ d - e j ²¹³	z ɑ ŋ ¹³ d e j ²¹³	C V C T C V C T
1956	Jinan	on	上头	ʂaŋ²¹tʰow	ʂ a ŋ ²¹ tʰ o w		210	249	ʂ a ŋ ²¹ tʰ o w -	C V C T C V C	ʂ - a ŋ ²¹ tʰ - o w -	ʂ a ŋ ²¹ tʰ o w	C V C T C V C
1963	Nanchang	on	上头	sɔŋ²¹tʰɛw⁰²	s ɔ ŋ ²¹ tʰ ɛ w ⁰²/¹²		210	249	s ɔ ŋ ²¹ tʰ ɛ w ⁰²/¹²	C V C T C V C T	s - ɔ ŋ ²¹ tʰ - ɛ w ⁰²/¹²	s ɔ ŋ ²¹ tʰ ɛ w ⁰²/¹²	C V C T C V C T
1978	Shanghai	on	上头	zɑ̃¹³dɤ¹³	z ɑ̃ ¹³ d ɤ ¹³		210	249	z ɑ̃ - ¹³ d ɤ - ¹³	C V T C V T	z - ɑ̃ - ¹³ d - ɤ - ¹³	z ɑ̃ ¹³ d ɤ ¹³	C V T C V T
1973	Shexian	on	上头	ɕja²²tʰju⁴⁴	ɕ a ²² tʰ u ⁴⁴		210	249	ɕ a - ²² tʰ u - ⁴⁴	C V T C V T	ɕ j a - ²² tʰ j u - ⁴⁴	ɕ j a ²² tʰ j u ⁴⁴	C C V T C C V T
1972	Taiyuan	on	上头	sɒ̃⁴⁵tʰəw⁵³	s ɒ̃ ⁴⁵ tʰ ə w ⁵³		210	249	s ɒ̃ - ⁴⁵ tʰ ə w ⁵³	C V T C V C T	s - ɒ̃ - ⁴⁵ tʰ - ə w ⁵³	s ɒ̃ ⁴⁵ tʰ ə w ⁵³	C V T C V C T
1969	Chengdu	on	高上	kaw⁵⁵saŋ¹³	k a w ⁵⁵ s a ŋ ¹³		179	222	k a w ⁵⁵ s a ŋ ¹³	C V C T C V C T	k a w ⁵⁵ s a ŋ ¹³	k a w ⁵⁵ s a ŋ ¹³	C V C T C V C T
1962	Guangzhou	on	上高	sœŋ²²kow⁵⁵	s œ ŋ ²² k o w ⁵⁵		179	222	s œ ŋ ²² k o w ⁵⁵	C V C T C V C T	s œ ŋ ²² k o w ⁵⁵	s œ ŋ ²² k o w ⁵⁵	C V C T C V C T
1952	Guixian	on	高上	ka⁵⁵saŋ²¹³	k a ⁵⁵ s a ŋ ²¹³		179	222	k a - ⁵⁵ s a ŋ ²¹³	C V T C V C T	k a - ⁵⁵ s a ŋ ²¹³	k a ⁵⁵ s a ŋ ²¹³	C V T C V C T
1975	Beijing	on	上边儿	ʂɑŋ⁵¹pjar¹	ʂ ɑ ŋ ⁵¹ p j a r ¹		124	181	ʂ ɑ ŋ ⁵¹ p j a r ¹	C V C T C C V C T	ʂ ɑ ŋ ⁵¹ p j a r ¹	ʂ ɑ ŋ ⁵¹ p j a r ¹	C V C T C C V C T
1966	Chengdu	on	上边	saŋ¹³pjan⁵⁵	s a ŋ ¹³ p j a n ⁵⁵		124	181	s a ŋ ¹³ p j a n ⁵⁵	C V C T C C V C T	s a ŋ ¹³ p j a n ⁵⁵	s a ŋ ¹³ p j a n ⁵⁵	C V C T C C V C T
1957	Jinan	on	上边儿	ʂaŋ²¹pjɛr	ʂ a ŋ ²¹ p j ɛ r		124	181	ʂ a ŋ ²¹ p j ɛ r -	C V C T C C V C	ʂ a ŋ ²¹ p j ɛ r -	ʂ a ŋ ²¹ p j ɛ r	C V C T C C V C
2570	Beijing	on purpose	故意	ku⁵¹i⁵¹	k u ⁵¹ i ⁵¹		59	545	k u ⁵¹ i ⁵¹	C V T V T	- - - - - - - - k u ⁵¹ - i ⁵¹	k u ⁵¹ i ⁵¹	C V T V T
2551	Changsha	on purpose	故意	ku⁵⁵i⁵⁵	k u ⁵⁵ i ⁵⁵		59	545	k u ⁵⁵ i ⁵⁵	C V T V T	- - - - - - - - k u ⁵⁵ - i ⁵⁵	k u ⁵⁵ i ⁵⁵	C V T V T
