ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE
317	Hefei	cabbage	包头菜	pu²¹tʰɯ⁵⁵ʦʰᴇ⁵³	p u ²¹ tʰ ɯ ⁵⁵ tsʰ ᴇ/e̞ ⁵³		456	444	p u - ²¹ tʰ ɯ - ⁵⁵ tsʰ ᴇ/e̞ - ⁵³	C V T C V T C V T
313	Meixian	cabbage	包菜	paw⁴⁴ʦʰoj⁵³	p a w ⁴⁴ tsʰ o j ⁵³		456	444	p a w ⁴⁴ - - - - tsʰ o j ⁵³	C V C T C V C T
323	Nanchang	cabbage	包菜	pɑw⁴²ʦʰaj⁰²	p ɑ w ⁴² tsʰ a j ⁰²/¹²		456	444	p ɑ w ⁴² - - - - tsʰ a j ⁰²/¹²	C V C T C V C T
1454	Beijing	catch a cold	伤风	ʂɑŋ⁵⁵fəŋ⁵⁵	ʂ ɑ ŋ ⁵⁵ f ə ŋ ⁵⁵		240	273	ʂ - ɑ ŋ ⁵⁵ f ə ŋ ⁵⁵	C V C T C V C T
1430	Changsha	catch a cold	伤风	ʂan³³xoŋ³³	ʂ a n ³³ x o ŋ ³³		240	273	ʂ - a n ³³ x o ŋ ³³	C V C T C V C T
1447	Chengdu	catch a cold	伤风	saŋ⁵⁵foŋ⁵⁵	s a ŋ ⁵⁵ f o ŋ ⁵⁵		240	273	s - a ŋ ⁵⁵ f o ŋ ⁵⁵	C V C T C V C T
1443	Guangzhou	catch a cold	伤风	sœŋ⁵⁵foŋ⁵⁵	s œ ŋ ⁵⁵ f o ŋ ⁵⁵		240	273	s - œ ŋ ⁵⁵ f o ŋ ⁵⁵	C V C T C V C T
1441	Hangzhou	catch a cold	伤风	sɥɑŋ³³foŋ³³	s ɥ ɑ ŋ ³³ f o ŋ ³³		240	273	s ɥ ɑ ŋ ³³ f o ŋ ³³	C C V C T C V C T
1435	Hefei	catch a cold	伤风	ʂɑ̃²¹fəŋ²¹	ʂ ɑ̃ ²¹ f ə ŋ ²¹		240	273	ʂ - ɑ̃ - ²¹ f ə ŋ ²¹	C V T C V C T
1439	Jinan	catch a cold	伤风	ʂaŋ²¹³fəŋ²¹³	ʂ a ŋ ²¹³ f ə ŋ ²¹³		240	273	ʂ - a ŋ ²¹³ f ə ŋ ²¹³	C V C T C V C T
1456	Kunming	catch a cold	伤风	ʂᴀ̃⁴⁴foŋ⁴⁴	ʂ ᴀ̃/ã̱ ⁴⁴ f o ŋ ⁴⁴		240	273	ʂ - ᴀ̃/ã̱ - ⁴⁴ f o ŋ ⁴⁴	C V T C V C T
1428	Meixian	catch a cold	伤风	soŋ⁴⁴fuŋ⁴⁴	s o ŋ ⁴⁴ f u ŋ ⁴⁴		240	273	s - o ŋ ⁴⁴ f u ŋ ⁴⁴	C V C T C V C T
1445	Nanchang	catch a cold	伤风	sɔŋ⁴²fuŋ⁴²	s ɔ ŋ ⁴² f u ŋ ⁴²		240	273	s - ɔ ŋ ⁴² f u ŋ ⁴²	C V C T C V C T
1458	Shanghai	catch a cold	伤风	sɑ̃⁵³foŋ⁵³	s ɑ̃ ⁵³ f o ŋ ⁵³		240	273	s - ɑ̃ - ⁵³ f o ŋ ⁵³	C V T C V C T
1453	Shexian	catch a cold	伤风	ɕja³¹fʌ̃³¹	ɕ j a ³¹ f ʌ̃ ³¹		240	273	ɕ j a - ³¹ f ʌ̃ - ³¹	C C V T C V T
1429	Changsha	catch a cold	感冒	kan⁴¹maw⁵⁵	k a n ⁴¹ m a w ⁵⁵		224	260	k a n ⁴¹ m a w ⁵⁵ - - - -	C V C T C V C T
1444	Guangzhou	catch a cold	感冒	kɐm³⁵mow²²	k ɐ m ³⁵ m o w ²²		224	260	k ɐ m ³⁵ m o w ²² - - - -	C V C T C V C T
1432	Guixian	catch a cold	感冒	kan⁴²ma²¹³	k a n ⁴² m a ²¹³		224	260	k a n ⁴² m a - ²¹³ - - - -	C V C T C V T
1442	Hangzhou	catch a cold	感冒	kᴇ̃⁵³mɔ¹³	k ᴇ̃/ẽ̞ ⁵³ m ɔ ¹³		224	260	k ᴇ̃/ẽ̞ - ⁵³ m ɔ - ¹³ - - - -	C V T C V T
1436	Hefei	catch a cold	感冒	kæ̃²⁴mɔ⁵³	k æ̃ ²⁴ m ɔ ⁵³		224	260	k æ̃ - ²⁴ m ɔ - ⁵³ - - - -	C V T C V T
1440	Jinan	catch a cold	感冒	kã⁵⁵mɔ²¹	k ã ⁵⁵ m ɔ ²¹		224	260	k ã - ⁵⁵ m ɔ - ²¹ - - - -	C V T C V T
1446	Nanchang	catch a cold	感冒	kɵn²¹³mɑw²¹	k ɵ n ²¹³ m ɑ w ²¹		224	260	k ɵ n ²¹³ m ɑ w ²¹ - - - -	C V C T C V C T
1459	Shanghai	catch a cold	感冒	kø³⁵mɔ¹³	k ø ³⁵ m ɔ ¹³		224	260	k ø - ³⁵ m ɔ - ¹³ - - - -	C V T C V T
1452	Taiyuan	catch a cold	感冒咧	kæ̃⁵³maw⁴⁵lje⁵³	k æ̃ ⁵³ m a w ⁴⁵ l j e ⁵³		224	260	k æ̃ - ⁵³ m a w ⁴⁵ l j e ⁵³	C V T C V C T C C V T
1434	Xiamen	catch a cold	感冒	kam⁵³mɔ²²	k a m ⁵³ m ɔ ²²		224	260	k a m ⁵³ m ɔ - ²² - - - -	C V C T C V T
2417	Beijing	cheap	便宜	pʰjan³⁵i³	pʰ j a n ³⁵ i ³		73	661	pʰ j a n ³⁵ - i - ³	C C V C T V T
2401	Changsha	cheap	便宜	pjẽ¹³i	p j ẽ ¹³ i		73	661	p j ẽ - ¹³ - i - -	C C V T V
2411	Chengdu	cheap	便宜	pʰjan³¹ȵi³¹	pʰ j a n ³¹ ɲ i ³¹		73	661	pʰ j a n ³¹ ɲ i - ³¹	C C V C T C V T
2402	Guixian	cheap	便宜	pʰjan²¹i²¹³	pʰ j a n ²¹ i ²¹³		73	661	pʰ j a n ²¹ - i - ²¹³	C C V C T V T
2408	Hangzhou	cheap	便宜	bjᴇ̃²¹³ȵi²¹³	b j ᴇ̃/ẽ̞ ²¹³ ɲ i ²¹³		73	661	b j ᴇ̃/ẽ̞ - ²¹³ ɲ i - ²¹³	C C V T C V T
2407	Jinan	cheap	便宜	pʰjã⁴²i	pʰ j ã ⁴² i		73	661	pʰ j ã - ⁴² - i - -	C C V T V
2400	Meixian	cheap	便宜	pʰjen¹¹ŋin¹¹	pʰ j e n ¹¹ ŋ i n ¹¹		73	661	pʰ j e n ¹¹ ŋ i n ¹¹	C C V C T C V C T
2410	Nanchang	cheap	便宜	pʰjɛn²⁴i⁰⁴	pʰ j ɛ n ²⁴ i ⁰⁴/¹⁴		73	661	pʰ j ɛ n ²⁴ - i - ⁰⁴/¹⁴	C C V C T V T
2415	Shexian	cheap	便宜	pʰe⁴⁴ni⁴⁴	pʰ e ⁴⁴ n i ⁴⁴		73	661	pʰ - e - ⁴⁴ n i - ⁴⁴	C V T C V T
